,sentence,score,predict
0,Very happy with this product.,1.0,1.0
1,Love this product.,1.0,1.0
2,Piece of trash.,0.0,0.0
3,Phone now holds charge like it did when it was new.,1.0,0.0
4,It's AGGRAVATING!,0.0,1.0
5,Disappointment.. I hate anything that goes in my ear.,0.0,0.0
6,It's not what it says it is.,0.0,0.0
7,Don't buy it.,0.0,0.0
8,Don't bother - go to the store.,0.0,0.0
9,"Then I exchanged for the same phone, even that had the same problem.",0.0,0.0
10,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0.0,1.0
11,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1.0,0.0
12,Adapter does not provide enough charging current.,0.0,0.0
13,You won't regret it!,1.0,1.0
14,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1.0,1.0
15,So Far So Good!.,1.0,1.0
16,Gets the job done.,1.0,1.0
17,"My colleague & I now get great reception.A little expensive, but performance is great.",1.0,1.0
18,We have tried 2 units and they both failed within 2 months.. Pros,0.0,0.0
19,The case is great and works fine with the 680.,1.0,1.0
20,AMAZON SUCKS.,0.0,1.0
21,This product is very High quality Chinese CRAP!!!!!!,0.0,1.0
22,Excellent hands free tool.,1.0,1.0
23,Exactly what I wanted.,1.0,1.0
24,!I definitly recommend!!,1.0,1.0
25,Great case and price!,1.0,1.0
26,My sister has one also and she loves it.,1.0,1.0
27,"No additional ear gels provided, and no instructions whatsoever.",0.0,0.0
28,"The mic there is a joke, and the volume is quite low.",0.0,0.0
29,The phone loads super!,1.0,0.0
30,"Excellent sound, battery life and inconspicuous to boot!.",1.0,1.0
31,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1.0,1.0
32,It has kept up very well.,1.0,1.0
33,"Horrible, horrible protector.",0.0,0.0
34,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0.0,0.0
35,The reception is excellent!,1.0,1.0
36,The delivery was on time.,1.0,0.0
37,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1.0,0.0
38,Does not fit.,0.0,0.0
39,"I've only had my bluetooth for a few weeks, but I really like it.",1.0,0.0
40,Its not user friendly.,0.0,0.0
41,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1.0,1.0
42,I got it because it was so small and adorable.,1.0,0.0
43,"My father has the V265, and the battery is dying.",0.0,1.0
44,"This is an excellent tool, especially when paired with your phone's auto-answer.",1.0,1.0
45,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1.0,1.0
46,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0.0,0.0
47,#1 It Works - #2 It is Comfortable.,1.0,1.0
48,It's A PIECE OF CRAP!,0.0,0.0
49,This company charge me a restocking fee and still not given me my refund back.,0.0,0.0
50,"useless phone, simply deaf.",0.0,0.0
51,"I have to use the smallest earpieces provided, but it stays on pretty well.",1.0,1.0
52,A pretty good product.,1.0,1.0
53,Someone shouldve invented this sooner.,1.0,0.0
54,I ended up sliding it on the edge of my pants or back pockets instead.,1.0,0.0
55,The instructions didn't explain that a microphone jack could be used.,0.0,0.0
56,Unreliable - I'm giving up.,0.0,0.0
57,The iGo chargers and tips are really great.,1.0,1.0
58,Works for me.,1.0,1.0
59,It would take too long to describe how bad my customer service experience has been with Amazon.,0.0,0.0
60,I highly recommend this case.,1.0,1.0
61,"Bought mainly for the charger, which broke soon after purchasing.",0.0,0.0
62,Beautiful styling though.,1.0,1.0
63,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0.0,0.0
64,"Overall, I would recommend this phone over the new Walkman.",1.0,1.0
65,DO NOT PURCHASE THIS PHONE.,0.0,0.0
66,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0.0,0.0
67,Restored my phone to like new performance.,1.0,0.0
68,I am more than happy with this product.,1.0,1.0
69,I'd like to return it.,0.0,0.0
70,Warning - Stay away.,0.0,0.0
71,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1.0,1.0
72,fast service.,1.0,1.0
73,"None of it works, just don't buy it.",0.0,0.0
74,O my gosh the best phone I have ever had.,1.0,0.0
75,Couldn't figure it out,0.0,1.0
76,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0.0,0.0
77,Does Not Work.,0.0,0.0
78,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1.0,0.0
79,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0.0,0.0
80,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0.0,0.0
81,DO NOT BUY DO NOT BUYIT SUCKS,0.0,0.0
82,This is a great product..... sure beats using your fingers!.,1.0,1.0
83,the charger worked for about a week and then completely stopped charging my phone.,0.0,0.0
84,A Disappointment.,0.0,0.0
85,Horrible phone.,0.0,0.0
86,I wouldn't recommend buying this product.,0.0,0.0
87,"very good product, well made.",1.0,1.0
88,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1.0,1.0
89,Lately they have been extremely nice and helpful on the phone.,1.0,1.0
90,Disappointed!.,0.0,0.0
91,EXCELLENT SERVICE!!!!!!!!.,1.0,1.0
92,Very easy to use.,1.0,1.0
93,Could not get strong enough signal.,0.0,0.0
94,BT50 battery junk!.,0.0,0.0
95,It is the best charger I have seen on the market yet.,1.0,1.0
96,"good item, low price.",1.0,1.0
97,It makes very strange ticking noises before it ends the call.,0.0,1.0
98,Love it.. Great armband.,1.0,1.0
99,Very well made and fits my Surefire GX2 perfectly.,1.0,1.0
100,"Otherwise, easy to install and use, clear sound.",1.0,1.0
101,Its reception is very very poor.,0.0,0.0
102,You also cannot take pictures with it in the case because the lense is covered.,0.0,0.0
103,So I basically threw my money out the window for nothing.,0.0,0.0
104,Doesn't Work.,0.0,0.0
105,It is unusable in a moving car at freeway speed.,0.0,0.0
106,Nice headphones for the price and they work great!,1.0,1.0
107,I plugged it in only to find out not a darn thing worked.,0.0,0.0
